ID	data	length	Byte1	Byte2	Byte3	Byte4	Byte5	Byte6	Byte7	Byte8
1AF	0000	2	00	00						
C7	0188441B	4	01	88	44	1B				
19D	80003FFE000C4B82	8	80	00	3F	FE	00	0C	4B	82
1F5	0101000400000900	8	01	01	00	04	00	00	09	00
C9	800F0A0000410800	8	80	0F	0A	00	00	41	08	00
1ED	419006B200005DB8	8	41	90	06	B2	00	00	5D	B8
3E9	0202003C00000000	8	02	02	00	3C	00	00	00	00
199	0FFF0E70F19000FF	8	0F	FF	0E	70	F1	90	00	FF
388	0000001000000000	8	00	00	00	10	00	00	00	00
C7	01894CB4	4	01	89	4C	B4				
1AF	0000	2	00	00						
F1	AF0000C0	4	AF	00	00	C0				
C9	800F050700410800	8	80	0F	05	07	00	41	08	00
191	07480748074E0000	8	07	48	07	48	07	4E	00	00
C7	018A54BA	4	01	8A	54	BA				
134	00001000	4	00	00	10	00				
3C9	0400000000000000	8	04	00	00	00	00	00	00	00
1F1	0500000008000070	8	05	00	00	00	08	00	00	70
C7	018B5D49	4	01	8B	5D	49				
3C9	0000000000000000	8	00	00	00	00	00	00	00	00
1F5	0101000400000900	8	01	01	00	04	00	00	09	00
1C3	074A081500000000	8	07	4A	08	15	00	00	00	00
C7	018B5D49	4	01	8B	5D	49				
199	8FFF0E70F18E00FF	8	8F	FF	0E	70	F1	8E	00	FF
280	0000000000000000	8	00	00	00	00	00	00	00	00
2F0	00FF000000000000	8	00	FF	00	00	00	00	00	00
1F3	4040	2	40	40						
671	3748353738333239	8	37	48	35	37	38	33	32	39
C9	800F180D00410800	8	80	0F	18	0D	00	41	08	00
1EF	00000812	4	00	00	08	12				
199	CFFF0E70F18D00FF	8	CF	FF	0E	70	F1	8D	00	FF
F1	930000C0	4	93	00	00	C0				
1E1	00FD070060	5	00	FD	07	00	60			
1F9	000000008000FF00	8	00	00	00	00	80	00	FF	00
C7	018E75B8	4	01	8E	75	B8				
19D	00000000000C6982	8	00	00	00	00	00	0C	69	82
4C9	403B0000	4	40	3B	00	00				
1EF	00000812	4	00	00	08	12				
C7	018E75B8	4	01	8E	75	B8				
199	0FFF0E70F19000FF	8	0F	FF	0E	70	F1	90	00	FF
3FB	0000	2	00	00						
380	020000008000211F	8	02	00	00	00	80	00	21	1F
388	0000001000000000	8	00	00	00	10	00	00	00	00
C7	018F7E36	4	01	8F	7E	36				
F1	BB0000C0	4	BB	00	00	C0				
1F3	8080	2	80	80						
1EF	00000818	4	00	00	08	18				
C7	0190861F	4	01	90	86	1F				
F9	04D640030C0587FF	8	04	D6	40	03	0C	05	87	FF
199	4FFF0E70F18F00FF	8	4F	FF	0E	70	F1	8F	00	FF
1ED	419006AC00005DB8	8	41	90	06	AC	00	00	5D	B8
C7	01918E89	4	01	91	8E	89				
1E1	0000040000	5	00	00	04	00	00			
19D	40003FFF000C8780	8	40	00	3F	FF	00	0C	87	80
1F9	000000008000FF00	8	00	00	00	00	80	00	FF	00
1ED	419006C500005DDE	8	41	90	06	C5	00	00	5D	DE
189	8FFF0FFF2FFF	6	8F	FF	0F	FF	2F	FF		
199	8FFF0E70F18E00FF	8	8F	FF	0E	70	F1	8E	00	FF
F1	930000C0	4	93	00	00	C0				
C7	01929666	4	01	92	96	66				
388	0000001000000000	8	00	00	00	10	00	00	00	00
F1	870000C0	4	87	00	00	C0				
C9	800F580D00410800	8	80	0F	58	0D	00	41	08	00
1EF	0000081F	4	00	00	08	1F				
F9	04D44003220591FF	8	04	D4	40	03	22	05	91	FF
199	CFFF0E70F18D00FF	8	CF	FF	0E	70	F1	8D	00	FF
1F3	C0C0	2	C0	C0						
C7	0194A698	4	01	94	A6	98				
191	0748074807480000	8	07	48	07	48	07	48	00	00
19D	80003FFE000CA582	8	80	00	3F	FE	00	0C	A5	82
1F5	0101000400000900	8	01	01	00	04	00	00	09	00
1ED	419006AF00005E29	8	41	90	06	AF	00	00	5E	29
F9	04D4400318059CFF	8	04	D4	40	03	18	05	9C	FF
199	0FFF0E70F19000FF	8	0F	FF	0E	70	F1	90	00	FF
1E1	00FF050020	5	00	FF	05	00	20			
C7	0195AEF4	4	01	95	AE	F4				
388	0000001000000000	8	00	00	00	10	00	00	00	00
F1	870000C0	4	87	00	00	C0				
191	073F073F07480000	8	07	3F	07	3F	07	48	00	00
1EF	0000081F	4	00	00	08	1F				
189	4FFF0FFF3000	6	4F	FF	0F	FF	30	00		
130	0000000000	5	00	00	00	00	00			
3C9	0400000000000000	8	04	00	00	00	00	00	00	00
1F1	0500000008000070	8	05	00	00	00	08	00	00	70
F1	930000C0	4	93	00	00	C0				
1AF	0000	2	00	00						
3C9	0000000000000000	8	00	00	00	00	00	00	00	00
191	073F073F073F0000	8	07	3F	07	3F	07	3F	00	00
C7	0197BF15	4	01	97	BF	15				
199	8FFF0E70F18E00FF	8	8F	FF	0E	70	F1	8E	00	FF
4E1	424C353736393937	8	42	4C	35	37	36	39	39	37
F1	AF0000C0	4	AF	00	00	C0				
2D1	0000000000	5	00	00	00	00	00			
2F0	00FF000000000000	8	00	FF	00	00	00	00	00	00
4E9	01003C11C6	5	01	00	3C	11	C6			
1EF	00000826	4	00	00	08	26				
C7	0199CF32	4	01	99	CF	32				
199	CFFF0E70F18D00FF	8	CF	FF	0E	70	F1	8D	00	FF
771	00400000000000	7	00	40	00	00	00	00	00	
1AF	0000	2	00	00						
C7	019AD6FF	4	01	9A	D6	FF				
19D	00000000000CAE81	8	00	00	00	00	00	0C	AE	81
1F5	0101000400000900	8	01	01	00	04	00	00	09	00
C9	800F270000410800	8	80	0F	27	00	00	41	08	00
1EF	00000826	4	00	00	08	26				
189	0FFF0FFF3001	6	0F	FF	0F	FF	30	01		
199	0FFF0E70F19000FF	8	0F	FF	0E	70	F1	90	00	FF
1F3	4040	2	40	40						
1AF	0000	2	00	00						
C7	019BDF64	4	01	9B	DF	64				
388	0000001000000000	8	00	00	00	10	00	00	00	00
F1	930000C0	4	93	00	00	C0				
C9	800F300700410800	8	80	0F	30	07	00	41	08	00
1EF	0000080E	4	00	00	08	0E				
C7	019CE731	4	01	9C	E7	31				
199	4FFF0E70F18F00FF	8	4F	FF	0E	70	F1	8F	00	FF
380	020000008000211F	8	02	00	00	00	80	00	21	1F
C7	019DEF92	4	01	9D	EF	92				
F1	AF0000C0	4	AF	00	00	C0				
19D	40003FFF000C9F7F	8	40	00	3F	FF	00	0C	9F	7F
1F5	0101000400000900	8	01	01	00	04	00	00	09	00
191	073D073D073D0000	8	07	3D	07	3D	07	3D	00	00
C7	019DEF92	4	01	9D	EF	92				
199	8FFF0E70F18E00FF	8	8F	FF	0E	70	F1	8E	00	FF
F1	BB0000C0	4	BB	00	00	C0				
1F3	8080	2	80	80						
C7	019EF75F	4	01	9E	F7	5F				
280	0000000000000000	8	00	00	00	00	00	00	00	00
2D1	0000000000	5	00	00	00	00	00			
388	0000001000000000	8	00	00	00	10	00	00	00	00
1ED	4190068200005E4F	8	41	90	06	82	00	00	5E	4F
C7	019FFFBC	4	01	9F	FF	BC				
F1	870000C0	4	87	00	00	C0				
1AF	0000	2	00	00						
1E1	0000040000	5	00	00	04	00	00			
C7	01A0078A	4	01	A0	07	8A				
1F9	000000008000FF00	8	00	00	00	00	80	00	FF	00
19D	80003FFE000CB982	8	80	00	3F	FE	00	0C	B9	82
1F5	0101000400000900	8	01	01	00	04	00	00	09	00
2C3	0A10066408DD66	7	0A	10	06	64	08	DD	66	
189	0FFF0FFF3001	6	0F	FF	0F	FF	30	01		
199	0FFF0E70F19000FF	8	0F	FF	0E	70	F1	90	00	FF
1AF	0000	2	00	00						
C7	01A10FE0	4	01	A1	0F	E0				
380	020000008000231D	8	02	00	00	00	80	00	23	1D
388	0000001000000000	8	00	00	00	10	00	00	00	00
12A	42000000B26C1FFF	8	42	00	00	00	B2	6C	1F	FF
1EF	000007F6	4	00	00	07	F6				
199	4FFF0E70F18F00FF	8	4F	FF	0E	70	F1	8F	00	FF
3C9	0400000000000000	8	04	00	00	00	00	00	00	00
1F3	C0C0	2	C0	C0						
C7	01A31FE6	4	01	A3	1F	E6				
F1	BB0000C0	4	BB	00	00	C0				
1E1	00FF050020	5	00	FF	05	00	20			
1F5	0101000400000900	8	01	01	00	04	00	00	09	00
191	07370737073B0000	8	07	37	07	37	07	3B	00	00
C7	01A42799	4	01	A4	27	99				
199	8FFF0E70F18E00FF	8	8F	FF	0E	70	F1	8E	00	FF
F1	870000C0	4	87	00	00	C0				
F1	AF0000C0	4	AF	00	00	C0				
C7	01A42799	4	01	A4	27	99				
280	0000000000000000	8	00	00	00	00	00	00	00	00
2D1	0000000000	5	00	00	00	00	00			
2F0	00FF000000000000	8	00	FF	00	00	00	00	00	00
1EF	000007F0	4	00	00	07	F0				
F9	04CC40033105D1FF	8	04	CC	40	03	31	05	D1	FF
199	CFFF0E70F18D00FF	8	CF	FF	0E	70	F1	8D	00	FF
F1	930000C0	4	93	00	00	C0				
1F3	0000	2	00	00						
C7	01A6377F	4	01	A6	37	7F				
C9	800F4D0D00410800	8	80	0F	4D	0D	00	41	08	00
19D	00000000000CE182	8	00	00	00	00	00	0C	E1	82
191	0737073707370000	8	07	37	07	37	07	37	00	00
2C3	0A10066408D966	7	0A	10	06	64	08	D9	66	
199	0FFF0E70F19000FF	8	0F	FF	0E	70	F1	90	00	FF
1E1	00FE060040	5	00	FE	06	00	40			
1F9	000000008000FF00	8	00	00	00	00	80	00	FF	00
C7	01A73FAF	4	01	A7	3F	AF				
1AF	0000	2	00	00						
380	020000008000211F	8	02	00	00	00	80	00	21	1F
C9	800F1D0700410800	8	80	0F	1D	07	00	41	08	00
1EF	000007F6	4	00	00	07	F6				
199	4FFF0E70F18F00FF	8	4F	FF	0E	70	F1	8F	00	FF
F1	BB0000C0	4	BB	00	00	C0				
C7	01A94F8B	4	01	A9	4F	8B				
F1	870000C0	4	87	00	00	C0				
1F3	4040	2	40	40						
19D	40003FFF000CE880	8	40	00	3F	FF	00	0C	E8	80
1F5	0101000400000900	8	01	01	00	04	00	00	09	00
C9	800F180A00410800	8	80	0F	18	0A	00	41	08	00
C7	01AA5734	4	01	AA	57	34				
199	8FFF0E70F18E00FF	8	8F	FF	0E	70	F1	8E	00	FF
F1	930000C0	4	93	00	00	C0				
1E1	00FD070060	5	00	FD	07	00	60			
C7	01AA5734	4	01	AA	57	34				
1F9	000000008000FF00	8	00	00	00	00	80	00	FF	00
280	0000000000000000	8	00	00	00	00	00	00	00	00
2D1	0000000000	5	00	00	00	00	00			
388	0000001000000000	8	00	00	00	10	00	00	00	00
189	CFFF0FFF2FFE	6	CF	FF	0F	FF	2F	FE		
F1	AF0000C0	4	AF	00	00	C0				
1AF	0000	2	00	00						
C7	01AC6710	4	01	AC	67	10				
19D	80003FFE000CED81	8	80	00	3F	FE	00	0C	ED	81
1F5	0101000400000900	8	01	01	00	04	00	00	09	00
C9	800F080000410800	8	80	0F	08	00	00	41	08	00
1ED	4190065600005E9B	8	41	90	06	56	00	00	5E	9B
3E9	0234004200000000	8	02	34	00	42	00	00	00	00
199	0FFF0E70F19000FF	8	0F	FF	0E	70	F1	90	00	FF
1F3	8080	2	80	80						
4D1	8800670260AC00B4	8	88	00	67	02	60	AC	00	B4
C7	01AE76F2	4	01	AE	76	F2				
1AF	0000	2	00	00						
F1	870000C0	4	87	00	00	C0				
380	020000008000231D	8	02	00	00	00	80	00	23	1D
388	0000001000000000	8	00	00	00	10	00	00	00	00
199	4FFF0E70F18F00FF	8	4F	FF	0E	70	F1	8F	00	FF
1E1	0000040000	5	00	00	04	00	00			
1F1	0500000008000070	8	05	00	00	00	08	00	00	70
C7	01AF7F28	4	01	AF	7F	28				
F1	930000C0	4	93	00	00	C0				
1F5	0101000400000900	8	01	01	00	04	00	00	09	00
C9	800F190A00410800	8	80	0F	19	0A	00	41	08	00
1EF	00000801	4	00	00	08	01				
199	8FFF0E70F18E00FF	8	8F	FF	0E	70	F1	8E	00	FF
C9	800F050700410800	8	80	0F	05	07	00	41	08	00
F1	AF0000C0	4	AF	00	00	C0				
C7	01B18F03	4	01	B1	8F	03				
1F3	C0C0	2	C0	C0						
C9	800F280D00410800	8	80	0F	28	0D	00	41	08	00
280	0000000000000000	8	00	00	00	00	00	00	00	00
2D1	0000000000	5	00	00	00	00	00			
F9	04B040033D05FCFF	8	04	B0	40	03	3D	05	FC	FF
380	0200000080002010	8	02	00	00	00	80	00	20	10
1E1	00FF050020	5	00	FF	05	00	20			
1F9	000000008000FF00	8	00	00	00	00	80	00	FF	00
C7	01B296A9	4	01	B2	96	A9				
19D	00000000000CEA80	8	00	00	00	00	00	0C	EA	80
1F5	0101000400000900	8	01	01	00	04	00	00	09	00
2C3	0A0F066408DF65	7	0A	0F	06	64	08	DF	65	
199	0FFF0E70F19000FF	8	0F	FF	0E	70	F1	90	00	FF
191	073B073B07390000	8	07	3B	07	3B	07	39	00	00
C7	01B4A678	4	01	B4	A6	78				
F1	930000C0	4	93	00	00	C0				
1F3	0000	2	00	00						
191	07390739073B0000	8	07	39	07	39	07	3B	00	00
1EF	00000801	4	00	00	08	01				
380	020000008000211F	8	02	00	00	00	80	00	21	1F
388	0000001000000000	8	00	00	00	10	00	00	00	00
199	4FFF0E70F18F00FF	8	4F	FF	0E	70	F1	8F	00	FF
C9	800F3D0700410800	8	80	0F	3D	07	00	41	08	00
C7	01B5AE9C	4	01	B5	AE	9C				
1E1	00FE060040	5	00	FE	06	00	40			
19D	40003FFF000D0082	8	40	00	3F	FF	00	0D	00	82
1F9	000000008000FF00	8	00	00	00	00	80	00	FF	00
1EF	0000080E	4	00	00	08	0E				
199	8FFF0E70F18E00FF	8	8F	FF	0E	70	F1	8E	00	FF
F1	AF0000C0	4	AF	00	00	C0				
F1	BB0000C0	4	BB	00	00	C0				
C7	01B7BE48	4	01	B7	BE	48				
C9	800F7F0D00410800	8	80	0F	7F	0D	00	41	08	00
191	0734073407390000	8	07	34	07	34	07	39	00	00
280	0000000000000000	8	00	00	00	00	00	00	00	00
F9	04B640032F0615FF	8	04	B6	40	03	2F	06	15	FF
380	020000008000221E	8	02	00	00	00	80	00	22	1E
388	0000001000000000	8	00	00	00	10	00	00	00	00
1F3	4040	2	40	40						
C7	01B8C5CD	4	01	B8	C5	CD				
1ED	4190068D00005EAE	8	41	90	06	8D	00	00	5E	AE
19D	80003FFE000D2580	8	80	00	3F	FE	00	0D	25	80
1F5	0101000400000900	8	01	01	00	04	00	00	09	00
3C1	0765540000000000	8	07	65	54	00	00	00	00	00
199	0FFF0E70F19000FF	8	0F	FF	0E	70	F1	90	00	FF
1E1	00FD070060	5	00	FD	07	00	60			
1F9	000000008000FF00	8	00	00	00	00	80	00	FF	00
C7	01BAD54F	4	01	BA	D5	4F				
1AF	0000	2	00	00						
F1	AF0000C0	4	AF	00	00	C0				
C9	800F640700410800	8	80	0F	64	07	00	41	08	00
191	072E072E07340000	8	07	2E	07	2E	07	34	00	00
F9	04BC40034A061FFF	8	04	BC	40	03	4A	06	1F	FF
1F1	0500000008000070	8	05	00	00	00	08	00	00	70
3C9	0000000000000000	8	00	00	00	00	00	00	00	00
C7	01BCE4CC	4	01	BC	E4	CC				
1F3	8080	2	80	80						
1F5	0101000400000900	8	01	01	00	04	00	00	09	00
C9	800F640A00410800	8	80	0F	64	0A	00	41	08	00
1EF	000007FD	4	00	00	07	FD				
199	8FFF0E70F18E00FF	8	8F	FF	0E	70	F1	8E	00	FF
12A	42000000B26C1FFF	8	42	00	00	00	B2	6C	1F	FF
F1	870000C0	4	87	00	00	C0				
C7	01BDECCA	4	01	BD	EC	CA				
1F9	000000008000FF00	8	00	00	00	00	80	00	FF	00
1E1	0000040000	5	00	00	04	00	00			
C9	800F7D0D00410800	8	80	0F	7D	0D	00	41	08	00
1EF	0000080B	4	00	00	08	0B				
F9	04B240033E062AFF	8	04	B2	40	03	3E	06	2A	FF
2D1	0000000000	5	00	00	00	00	00			
380	0200000080002010	8	02	00	00	00	80	00	20	10
388	0000001000000000	8	00	00	00	10	00	00	00	00
C7	01BFFC46	4	01	BF	FC	46				
1AF	0000	2	00	00						
1F5	0101000400000900	8	01	01	00	04	00	00	09	00
1A1	00104140000000	7	00	10	41	40	00	00	00	
F1	AF0000C0	4	AF	00	00	C0				
199	0FFF0E70F19000FF	8	0F	FF	0E	70	F1	90	00	FF
1F3	C0C0	2	C0	C0						
191	072D072D072E0000	8	07	2D	07	2D	07	2E	00	00
C7	01C003B9	4	01	C0	03	B9				
F1	BB0000C0	4	BB	00	00	C0				
1E1	00FF050020	5	00	FF	05	00	20			
C9	800F9A0700410800	8	80	0F	9A	07	00	41	08	00
1ED	4190068100005ED4	8	41	90	06	81	00	00	5E	D4
C7	01C10BB8	4	01	C1	0B	B8				
388	0000001000000000	8	00	00	00	10	00	00	00	00
191	072B072B072D0000	8	07	2B	07	2B	07	2D	00	00
C7	01C21329	4	01	C2	13	29				
F1	870000C0	4	87	00	00	C0				
19D	40003FFF000D3E81	8	40	00	3F	FF	00	0D	3E	81
1F5	0101000400000900	8	01	01	00	04	00	00	09	00
1ED	4190067E00005EFA	8	41	90	06	7E	00	00	5E	FA
C7	01C31B20	4	01	C3	1B	20				
199	8FFF0E70F18E00FF	8	8F	FF	0E	70	F1	8E	00	FF
F1	930000C0	4	93	00	00	C0				
1F3	0000	2	00	00						
C7	01C31B20	4	01	C3	1B	20				
1AF	0000	2	00	00						
C9	800F920D00410800	8	80	0F	92	0D	00	41	08	00
191	07270727072B0000	8	07	27	07	27	07	2B	00	00
1EF	000007FD	4	00	00	07	FD				
C7	01C4229D	4	01	C4	22	9D				
280	0000000000000000	8	00	00	00	00	00	00	00	00
2D1	0000000000	5	00	00	00	00	00			
1F9	000000008000FF00	8	00	00	00	00	80	00	FF	00
C7	01C52AA0	4	01	C5	2A	A0				
19D	80003FFE000D387F	8	80	00	3F	FE	00	0D	38	7F
1F5	0101000400000900	8	01	01	00	04	00	00	09	00
1C3	072707E800000000	8	07	27	07	E8	00	00	00	00
3E9	0235004600000000	8	02	35	00	46	00	00	00	00
199	0FFF0E70F19000FF	8	0F	FF	0E	70	F1	90	00	FF
1ED	4190066800005EFA	8	41	90	06	68	00	00	5E	FA
C7	01C73A2A	4	01	C7	3A	2A				
F1	870000C0	4	87	00	00	C0				
12A	42000000B26C1FFF	8	42	00	00	00	B2	6C	1F	FF
191	0725072507270000	8	07	25	07	25	07	27	00	00
1EF	000007FA	4	00	00	07	FA				
199	4FFF0E70F18F00FF	8	4F	FF	0E	70	F1	8F	00	FF
1F1	0500000008000070	8	05	00	00	00	08	00	00	70
388	0000001000000000	8	00	00	00	10	00	00	00	00
C7	01C841B5	4	01	C8	41	B5				
1E1	00FD070060	5	00	FD	07	00	60			
1F5	0101000400000900	8	01	01	00	04	00	00	09	00
191	0725072507250000	8	07	25	07	25	07	25	00	00
1EF	000007F6	4	00	00	07	F6				
199	8FFF0E70F18E00FF	8	8F	FF	0E	70	F1	8E	00	FF
F1	AF0000C0	4	AF	00	00	C0				
C9	800F610700410800	8	80	0F	61	07	00	41	08	00
C7	01CA5159	4	01	CA	51	59				
C9	800F4A0D00410800	8	80	0F	4A	0D	00	41	08	00
191	0728072807250000	8	07	28	07	28	07	25	00	00
1EF	000007F3	4	00	00	07	F3				
C7	01CA5159	4	01	CA	51	59				
199	CFFF0E70F18D00FF	8	CF	FF	0E	70	F1	8D	00	FF
F1	BB0000C0	4	BB	00	00	C0				
2D1	0000000000	5	00	00	00	00	00			
1F3	8080	2	80	80						
388	0000001000000000	8	00	00	00	10	00	00	00	00
19D	00000000000D0E81	8	00	00	00	00	00	0D	0E	81
1F5	0101000400000900	8	01	01	00	04	00	00	09	00
1A1	00104140000000	7	00	10	41	40	00	00	00	
C7	01CC6107	4	01	CC	61	07				
199	0FFF0E70F19000FF	8	0F	FF	0E	70	F1	90	00	FF
1E1	0000040000	5	00	00	04	00	00			
1F9	000000008000FF00	8	00	00	00	00	80	00	FF	00
C7	01CD6926	4	01	CD	69	26				
1ED	4190065100005EFA	8	41	90	06	51	00	00	5E	FA
F1	930000C0	4	93	00	00	C0				
1EF	000007D8	4	00	00	07	D8				
C7	01CE70BB	4	01	CE	70	BB				
199	4FFF0E70F18F00FF	8	4F	FF	0E	70	F1	8F	00	FF
C9	800F640700410800	8	80	0F	64	07	00	41	08	00
380	020000008000211F	8	02	00	00	00	80	00	21	1F
C7	01CE70BB	4	01	CE	70	BB				
1F3	C0C0	2	C0	C0						
1AF	0000	2	00	00						
1F5	0101000400000900	8	01	01	00	04	00	00	09	00
191	0729072907290000	8	07	29	07	29	07	29	00	00
1EF	000007DF	4	00	00	07	DF				
199	8FFF0E70F18E00FF	8	8F	FF	0E	70	F1	8E	00	FF
F1	BB0000C0	4	BB	00	00	C0				
1E1	00FF050020	5	00	FF	05	00	20			
C7	01D08069	4	01	D0	80	69				
1F9	000000008000FF00	8	00	00	00	00	80	00	FF	00
388	0000001000000000	8	00	00	00	10	00	00	00	00
C9	800F6D0D00410800	8	80	0F	6D	0D	00	41	08	00
1EF	000007BA	4	00	00	07	BA				
199	CFFF0E70F18D00FF	8	CF	FF	0E	70	F1	8D	00	FF
F1	870000C0	4	87	00	00	C0				
280	0000000000000000	8	00	00	00	00	00	00	00	00
2D1	0000000000	5	00	00	00	00	00			
388	0000001000000000	8	00	00	00	10	00	00	00	00
1AF	0000	2	00	00						
C9	800F640000410800	8	80	0F	64	00	00	41	08	00
1C3	072607EC00000000	8	07	26	07	EC	00	00	00	00
F9	04BE4003350678FF	8	04	BE	40	03	35	06	78	FF
1F3	0000	2	00	00						
191	0726072607290000	8	07	26	07	26	07	29	00	00
C7	01D39830	4	01	D3	98	30				
F1	AF0000C0	4	AF	00	00	C0				
C9	800F560700410800	8	80	0F	56	07	00	41	08	00
1ED	4190063700005F5B	8	41	90	06	37	00	00	5F	5B
1EF	000007B3	4	00	00	07	B3				
F9	04BE4003350678FF	8	04	BE	40	03	35	06	78	FF
3C9	0400000000000000	8	04	00	00	00	00	00	00	00
1E1	00FE060040	5	00	FE	06	00	40			
1F1	0500000008000070	8	05	00	00	00	08	00	00	70
388	0000001000000000	8	00	00	00	10	00	00	00	00
19D	C0003FFD000D077F	8	C0	00	3F	FD	00	0D	07	7F
3C9	0000000000000000	8	00	00	00	00	00	00	00	00
C7	01D5A7E3	4	01	D5	A7	E3				
199	8FFF0E70F18E00FF	8	8F	FF	0E	70	F1	8E	00	FF
F1	870000C0	4	87	00	00	C0				
191	0722072207260000	8	07	22	07	22	07	26	00	00
C7	01D6AF7D	4	01	D6	AF	7D				
1F3	4040	2	40	40						
C9	800F5A0D00410800	8	80	0F	5A	0D	00	41	08	00
191	0722072207220000	8	07	22	07	22	07	22	00	00
1EF	000007B3	4	00	00	07	B3				
F9	04BA4003480683FF	8	04	BA	40	03	48	06	83	FF
199	CFFF0E70F18D00FF	8	CF	FF	0E	70	F1	8D	00	FF
F1	930000C0	4	93	00	00	C0				
280	0000000000000000	8	00	00	00	00	00	00	00	00
2F0	00FF000000000000	8	00	FF	00	00	00	00	00	00
19D	00000000000D0581	8	00	00	00	00	00	0D	05	81
191	0722072207220000	8	07	22	07	22	07	22	00	00
C7	01D8BF3D	4	01	D8	BF	3D				
199	0FFF0E70F19000FF	8	0F	FF	0E	70	F1	90	00	FF
1ED	4190064400005F34	8	41	90	06	44	00	00	5F	34
C7	01D9C766	4	01	D9	C7	66				
F1	BB0000C0	4	BB	00	00	C0				
1F3	8080	2	80	80						
191	071E071E07220000	8	07	1E	07	1E	07	22	00	00
1EF	00000799	4	00	00	07	99				
C7	01DACF11	4	01	DA	CF	11				
F9	04BA400332068EFF	8	04	BA	40	03	32	06	8E	FF
199	4FFF0E70F18F00FF	8	4F	FF	0E	70	F1	8F	00	FF
C9	800F2F0700410800	8	80	0F	2F	07	00	41	08	00
C7	01DBD74D	4	01	DB	D7	4D				
F1	870000C0	4	87	00	00	C0				
1E1	0000040000	5	00	00	04	00	00			
1AF	0000	2	00	00						
C9	800EE90A00410800	8	80	0E	E9	0A	00	41	08	00
1ED	419005F000005F5B	8	41	90	05	F0	00	00	5F	5B
C7	01DCDF13	4	01	DC	DF	13				
199	8FFF0E70F18E00FF	8	8F	FF	0E	70	F1	8E	00	FF
F1	930000C0	4	93	00	00	C0				
C7	01DCDF13	4	01	DC	DF	13				
380	020000008000211F	8	02	00	00	00	80	00	21	1F
C9	800EFF0D00410800	8	80	0E	FF	0D	00	41	08	00
191	071F071F071E0000	8	07	1F	07	1F	07	1E	00	00
1EF	000007C4	4	00	00	07	C4				
189	CFFF0FFF2FFE	6	CF	FF	0F	FF	2F	FE		
199	CFFF0E70F18D00FF	8	CF	FF	0E	70	F1	8D	00	FF
1F3	C0C0	2	C0	C0						
1ED	4190060100005F5B	8	41	90	06	01	00	00	5F	5B
C7	01DEEF40	4	01	DE	EF	40				
2D1	0000000000	5	00	00	00	00	00			
1AF	0000	2	00	00						
C9	800EFF0000410800	8	80	0E	FF	00	00	41	08	00
1C3	071F07FF00000000	8	07	1F	07	FF	00	00	00	00
3E9	0245004A00000000	8	02	45	00	4A	00	00	00	00
199	0FFF0E70F19000FF	8	0F	FF	0E	70	F1	90	00	FF
1E1	00FF050020	5	00	FF	05	00	20			
1F9	000000008000FF00	8	00	00	00	00	80	00	FF	00
C7	01DFF7AB	4	01	DF	F7	AB				
F1	870000C0	4	87	00	00	C0				
191	07270727071F0000	8	07	27	07	27	07	1F	00	00
1EF	000007BD	4	00	00	07	BD				
189	4FFF0FFF3000	6	4F	FF	0F	FF	30	00		
1F1	0500000008000070	8	05	00	00	00	08	00	00	70
3C9	0000000000000000	8	00	00	00	00	00	00	00	00
C7	01E107EA	4	01	E1	07	EA				
F1	930000C0	4	93	00	00	C0				
380	020000008000231D	8	02	00	00	00	80	00	23	1D
388	0000001000000000	8	00	00	00	10	00	00	00	00
1EF	000007BD	4	00	00	07	BD				
F9	04C440032C06AEFF	8	04	C4	40	03	2C	06	AE	FF
199	8FFF0E70F18E00FF	8	8F	FF	0E	70	F1	8E	00	FF
F1	AF0000C0	4	AF	00	00	C0				
1E1	00FE060040	5	00	FE	06	00	40			
C7	01E20FC5	4	01	E2	0F	C5				
1F9	000000008000FF00	8	00	00	00	00	80	00	FF	00
C9	800F060D00410800	8	80	0F	06	0D	00	41	08	00
1EF	000007B7	4	00	00	07	B7				
C7	01E31837	4	01	E3	18	37				
199	CFFF0E70F18D00FF	8	CF	FF	0E	70	F1	8D	00	FF
F1	BB0000C0	4	BB	00	00	C0				
280	0000000000000000	8	00	00	00	00	00	00	00	00
C7	01E4200B	4	01	E4	20	0B				
280	0000000000000000	8	00	00	00	00	00	00	00	00
2D1	0000000000	5	00	00	00	00	00			
380	0200000080002010	8	02	00	00	00	80	00	20	10
1A1	00104140000000	7	00	10	41	40	00	00	00	
199	0FFF0E70F19000FF	8	0F	FF	0E	70	F1	90	00	FF
1F3	4040	2	40	40						
19D	00000000000C8F81	8	00	00	00	00	00	0C	8F	81
C7	01E52872	4	01	E5	28	72				
F1	930000C0	4	93	00	00	C0				
1E1	00FD070060	5	00	FD	07	00	60			
191	0726072607260000	8	07	26	07	26	07	26	00	00
1EF	000007CE	4	00	00	07	CE				
C7	01E63042	4	01	E6	30	42				
199	4FFF0E70F18F00FF	8	4F	FF	0E	70	F1	8F	00	FF
C9	800F1B0700410800	8	80	0F	1B	07	00	41	08	00
C7	01E738A0	4	01	E7	38	A0				
F1	AF0000C0	4	AF	00	00	C0				
19D	40003FFF000CA580	8	40	00	3F	FF	00	0C	A5	80
1F5	0101000400000900	8	01	01	00	04	00	00	09	00
C9	800F150A00410800	8	80	0F	15	0A	00	41	08	00
1EF	000007BD	4	00	00	07	BD				
